Item Name;Aer;Alienis;Aqua;Arbor;Auram;Bestia;Caelum;Cognitio;Corpus;Desidia;Electrum;Exanimis;Fabrico;Fames;Gelum;Gula;Herba;Humanus;Ignis;Infernus;Instrumentum;Invidia;Ira;Iter;Limus;Lucrum;Lux;Luxuria;Machina;Magneto;Messis;Metallum;Meto;Mortuus;Motus;Nebrisum;Ordo;Pannus;Perditio;Perfodio;Permutatio;Potentia;Praecantatio;Radio;Sano;Sensus;Spiritus;Strontio;Superbia;Tabernus;Telum;Tempestas;Tempus;Tenebrae;Terminus;Terra;Tutamen;Vacuos;Venenum;Victus;Vinculum;Vitium;Vitreus;Volatus
Ademic Steel Gear (10756:96);;;;;;;;;;;;;;;;;;;4;;;;;;;;;;4;;;12;;;;;4;;;;;;;4;;;;;;;;;;;;;;;;;;;4;
Zircaloy-2 Gear (10756:10083);;;;;;;;;;;;;;;;;;;4;;;;;;;;;;4;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
Atomic Separation Catalyst Gear (10756:10022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;4;;;;;;;;12;;;;;;;;;;;;;;;;;;;;
Enriched Naquadah Alloy Gear (10756:10110);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8;8;;;;;;;8;;;;;;;;;;;;;;;;;;;;
Precious Metals Alloy Gear (10756:10109);;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;20;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tairitsu Gear (10756:10106);;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;36;;;;12;;;;;;;;16;;;;;;;;;;;;;4;;;;;;4;
Hikarium Gear (10756:10105);;;;;;;;;;;;;;;;;;;;;4;;;;;4;;;;;;12;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Dalisenite Gear (10756:10104);;;;;;;;;;;4;;;;;;;;;;4;;;;;;;;4;;;20;;;;;;;;;;;;4;;;;;;;;;;;;;4;;;;;;;4
Tanmolyium Beta-C Gear (10756:10103);;;;;;;;;;;;;;;;;;;;;4;;;;;;;;4;;;8;;;;;;;;;;;;4;;;;;;;;;;;;;4;;;;;;;4
Artherium-Sn Gear (10756:10102);;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;24;;;;4;;;;;;;;4;;;;;;;;;;;;;;;12;;;;4;
Lumiium Gear (10756:10101);;;;;;;;;;;;;;;;;;;;;4;;;;;4;;;;;;12;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Signalium Gear (10756:10099);;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;8;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
MAR-Ce-M200 Steel Gear (10756:10097);;;;;;;;;;;4;;;;;;;;4;;4;;;;;;;;4;;;20;;;;;;;;;;;;4;;;;;;;;;;;;;4;;;;;;;4
MAR-M200 Steel Gear (10756:10096);;;;;;;;;;;4;;;;;;;;4;;4;;;;;;;;4;;;20;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;4
Mu-metal Gear (10756:11351);;;;;;;;;;;;;;;;;;;4;;4;;;;;;;;4;;;20;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Date (2304:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corn (6696:0);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coffee Seed (6777:0);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nether Leaves (3911:0);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avocado (2290:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hops (4280:0);;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quicksilver Brick (2771:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;
Latent Trophy Pedestal (1954:15);;;;;;;;;;;;;;;;;;;;;4;;;;;12;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;7;;;;;;;;
tile.TFTrophyPedestal.32767.name (1954:32767);;;;;;5;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trophy Pedestal (1954:0);;;;;;;;;;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;7;;;;;;;;
Colored Oak Planks (Black Frequency) (562:15);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Red Frequency) (562:14);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Green Frequency) (562:13);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Brown Frequency) (562:12);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Blue Frequency) (562:11);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Purple Frequency) (562:10);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Cyan Frequency) (562:9);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Light Gray Frequency) (562:8);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Gray Frequency) (562:7);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Pink Frequency) (562:6);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Lime Frequency) (562:5);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Yellow Frequency) (562:4);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Light Blue Frequency) (562:3);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Magenta Frequency) (562:2);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (Orange Frequency) (562:1);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Colored Oak Planks (White Frequency) (562:0);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Golden Leggings (316:32767);;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;15;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
White Painter (4256:0);;;;;;;;;;;;;4;;;;;;;;2;;;;;;;;;;;;;;;;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Hopper Cart (408:32767);;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
Golden Sword (283:32767);;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;4;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
tile.TFTrophy.32767.name (1952:32767);;;;;;;;;;;;;;;;;2;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiery Essence (4886:1);;10;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;4;;
Dragon Essence (4886:0);;10;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;10;;;;;;;;;;;;;;;;;;;;;;
Bio Chaff (4239:0);;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cocoa Powder (6903:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Thornvines (769:0);;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chest (54:32767);;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;
Kanthal File Head (7437:6312);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Vinegar (7437:32103);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;1;
Jade Saw Blade (7437:7537);;;;;;;;;;;;;;;;;;;;;2;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
Grape Juice (7437:32101);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;
Fiber-Reinforced Epoxy Resin Buzzsaw Blade (7437:15610);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Long Tantalum Rod (7437:22080);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Chipped Glass Crystal (7437:27890);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Purple Drink (7437:32100);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;
Vivid Alloy File Head (7437:6408);;1;;;;;;;;;;;;;;;;;1;;2;;;1;;1;;;1;;;1;;;;;1;;;;1;1;1;;;1;;;;;;;;1;;;;;;;;;;
Energetic Silver File Head (7437:6407);;;;;;;;;;;;;;;;;;;1;;2;;;;;1;;;1;;;1;;;;;1;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;
Crystalline Pink Slime File Head (7437:6406);;1;;;;;;;;;;;;;;;;;1;;2;;;1;;3;;;1;;;1;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;2;
Stellar Alloy File Head (7437:6405);1;1;;;;;;;;;;;;;;;;;1;;2;;;1;;1;;;;;;1;;;;1;1;;;;;1;1;1;1;1;;;;;;;;1;;;1;;;;;;;
Melodic Alloy File Head (7437:6404);1;1;;;;;;;;;;;;;;;;;1;;2;;;1;;1;;;;;;1;;;;;1;;;;;1;1;;1;1;;;;;;;;1;;;1;;;;;;;
Crystalline Alloy File Head (7437:6403);;1;;;;;;;;;;;;;;;;;1;;2;;;1;;2;;;1;;;1;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;1;
Clay Compound File Head (7437:6402);1;;1;;;;;;;;;;;;;;;;;;3;;;;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;1;;1;;;;;;;1;1
End Steel File Head (7437:6401);1;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;1;;;;;1;;;;;1;;;1;;;;;;;;;1;;;1;;;;;;;
Obzinite File Head (7437:6400);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
Magnetic Samarium File Head (7437:6399);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;10;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Mysterious Crystal File Head (7437:6398);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infinity File Head (7437:6397);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infinity Catalyst File Head (7437:6394);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oriharukon File Head (7437:6393);;1;;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duralumin File Head (7437:6392);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;1
Quantium File Head (7437:6391);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ledox File Head (7437:6390);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callisto Ice File Head (7437:6389);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Black Plutonium File Head (7437:6388);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mytryl File Head (7437:6387);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manyullyn File Head (7437:6386);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
Enhanced Galgadorian File Head (7437:6385);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Galgadorian File Head (7437:6384);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reinforced File Head (7437:6383);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ardite File Head (7437:6382);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Redstone Alloy File Head (7437:6381);;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;
Enderium Base File Head (7437:6380);;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soularium File Head (7437:6379);;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Pulsating Iron File Head (7437:6378);;1;;;;;;;;;;;;;;;;;1;;2;;;1;;;;;1;;;1;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;
HSS-S File Head (7437:6374);;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;;1;;;;1;1;;;;;;;1;;;;;;;;;;;;;1;;;;;;;
HSS-E File Head (7437:6373);;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;;1;;;;;1;;;;;;;1;;;;;;;;;;1;;;1;;;;;;;
HSS-G File Head (7437:6372);;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;1;;;;;;;
Vanadiumsteel File Head (7437:6371);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Tungstencarbide File Head (7437:6370);;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;
Conductive Iron File Head (7437:6369);;;;;;;;;;;;;;;;;;;1;;2;;;;;1;;;1;;;2;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;
Shadow Metal File Head (7437:6368);;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vibrant Alloy File Head (7437:6367);;1;;;;;;;;;;;;;;;;;1;;2;;;1;;1;;;1;;;1;;;;;1;;;;1;1;1;;;1;;;;;;;;1;;;;;;;;;;
Energetic Alloy File Head (7437:6366);;;;;;;;;;;;;;;;;;;1;;2;;;;;1;;;1;;;1;;;;;1;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;
Electrical Steel File Head (7437:6365);;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;1;;;;;1;;;;;1;;;;;;;;;;;;1;;;;;;;;;;
Dark Steel File Head (7437:6364);1;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;1;;;;;1;;;;;1;;;1;;;;;;;;;1;;;;;;;;;;
Tin Alloy File Head (7437:6363);;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Knightmetal File Head (7437:6362);;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Potato Juice (7437:32104);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
